_id,album,artist,count,lyrics,melon_id,name,singer,song_id,
57260c912641f9921926fe08,Eat,브라더수,48,안녕 쉽지 않죠 바쁘죠 왜 이렇게 까지 해야 하나 싶죠 바라는 게 더럽게 많죠 그렇죠 쉬고 싶죠 시끄럽죠 다 성가시죠 집에 가고 싶죠 집에 있는데도 집에 가고 싶을 거야 그럴 땐 이 노래를 초콜릿처럼 꺼내 먹어요 피곤해도 아침 점심 밥 좀 챙겨 먹어요 그러면 이따 내가 칭찬해줄게요 보고 싶어 많이 좋아해요 더 많이 안아주고 싶어요 사랑 사랑 비슷한 걸 해요 어쩌면 정말 사랑해요 배고플 땐 이 노래를 아침 사과처럼 꺼내 먹어요 피곤해도 아침 점심 밥 좀 챙겨 먹어요 그러면 이따 밤에 잠도 잘 올 거에요 힘들어요 아름다워서 알아봐줘요 나를 흘려 보내지 마요 나를 사랑해줘요 날 날 놓치지 마요,5702706,꺼내 먹어요,자이언티 (Zion.T),861736,안녕 쉽 않죠 왜 까지 해야 하나 싶죠 바라는 게 쉬 싶죠 성 가시 집 가고 싶죠 집 집 가고 싶 땐 이 노래 초콜릿 꺼내 먹어 아침 점심 밥 좀 챙겨 먹어 이따 내 칭찬해 보고 싶어 더 안아 싶어 사랑 사랑 걸 해 어쩌면 정말 사랑해 땐 이 노래 아침 사과 꺼내 먹어 아침 점심 밥 좀 챙겨 먹어 이따 밤 잠도 잘 올 거 알아봐 나를 흘려 보내지 마 나를 사랑해 날 날 놓치 마
57260c912641f9921926fe0e,GALLERY,Poptime,21,만지고 싶어 big booty girl  내 바지 속에 느낌표  안달 나가지고  널 졸졸 따라다니고  Where u at Where u at Where u at  Eureka See that Oh god she's hot  눈에 딱 들어와  들어갈 덴 들어가고  나올 덴 나온 여자  타이트 한 위아래  입체감에 뻑 가  소방차를 불러  화제의 중심은 your body   가만히 있어도  네 몸이 널 자꾸 과시해  아까워 발정 남  눈요깃거리로 남기엔 a  야한 여성은 뜻밖의 영감을 줘  좀 발칙한 상상 얼마나 좋아  만지고 싶어 big booty girl  내 바지 속에 느낌표  안달 나가지고 널 졸졸 따라다니고 Where u at Where u at Where u at Eureka See that so sexy Eureka  Awesome 완벽한 비율 매력이 넘쳐 흘러내리는 중 드디어 깨달았어 you are so beautiful And I said Eureka 19금 딱지로도 널 가릴 순 없지 오늘 하루 신사답게 살긴 글렀지 번지하고 싶어 푹신한 네 쿠션 위에 낯이 벌개져 술 한 모금 없이 이건 극 사실주의 과장 안 해 표현이 저급할 수 있어 감안해 존재가 풍기문란죄 나도 양반은 못돼  양심의 가책 없는 몸매에 발끈하고 마는 아랫도리 널 원 없이 만지고 싶어 big booty girl 내 바지 속에 느낌표 안달 나가지고 널 졸졸 따라다니고 Where u at Where u at Where u at Eureka See that so sexy Eureka  Awesome 완벽한 비율 매력이 넘쳐 흘러내리는 중 드디어 깨달았어 you are so beautiful And I said Eureka Sexy Can you be my 새색시 느낌 없는 패피들 그만 껄떡대 여쭈어볼게 있지 how did you get that 꽉 찬 애플힙 난 잡스이고 싶어 all day 너의 조수석 승차를 원해 난 허우대 건장하고 돈 잘 버는 영계  Monday to Sunday 너랑 같이 있어 sexy 하룻밤 아니 다음날도 uh  Eureka See that so sexy Eureka  Awesome 완벽한 비율 매력이 넘쳐 흘러내리는 중 드디어 깨달았어 you are so beautiful And I said Eureka,7965449,유레카 (Feat. Zion.T),지코 (ZICO),938916,만지 싶어 내 바지 속 느낌표 안달 나가지 널 졸졸 따라다니 눈 들어와 들어갈 덴 들어가고 나올 덴 나온 여자 타이 트 한 위아래 입 체감 뻑 가 소방차 불러 화제 중심 네 몸 널 자꾸 과시 발정 남 눈 깃 거리 남기 여성 뜻밖 영감 줘 좀 발칙 상상 얼마나 만지 싶어 내 바지 속 느낌표 안달 나가지 널 졸졸 따라다니 비율 매력 넘쳐 흘러내리는 중 드디어 깨 달 금 딱지 도 널 가릴 순 오늘 하루 신사 답 살 글렀 번지 싶어 푹 신한 네 쿠션 위 낯 벌 개져 술 한 모금 것 사실 주의 과장 안 해 표현 저급 할 수 감안 존재 풍기 문란 죄 나도 양반 돼 양심 가책 몸매 발끈 마는 도리 널 원 만지 싶어 내 바지 속 느낌표 안달 나가지 널 졸졸 따라다니 비율 매력 넘쳐 흘러내리는 중 드디어 깨 달 새색시 느낌 패피 껄떡 여쭈어 볼게 꽉 찬 애플 힙 난 잡스 싶어 너 조 수석 승차 원해 난 허우대 건장 돈 잘 버 영계 너 하룻밤 다음 날 비율 매력 넘쳐 흘러내리는 중 드디어 깨 달
57260c922641f9921926fe83,썸,서용배,47,가끔씩 나도 모르게 짜증이나  너를 향한 맘은 변하지 않았는데 혹시 내가 이상한 걸까  혼자 힘들게 지내고 있었어 텅 빈 방 혼자 멍하니 뒤척이다  티비에는 어제 본 것 같은 드라마  잠이 들 때까지 한번도  울리지 않는 핸드폰을 들고  요즘 따라 내꺼인 듯  내꺼 아닌 내꺼 같은 너 니꺼인 듯 니꺼 아닌  니꺼 같은 나 이게 무슨 사이인 건지 사실  헷갈려 무뚝뚝하게 굴지마 연인인 듯 연인 아닌 연인 같은 너 나만 볼 듯  애매하게 날 대하는 너  때로는 친구 같다는 말이  괜히 요즘 난 듣기 싫어 졌어 매일 아침 너의 문자에  눈을 뜨고 하루 끝에는  니 목소리에 잠들고 파 주말에는 많은 사람 속에서  보란 듯이 널 끌어 안고 싶어 요즘 따라 내꺼인 듯  내꺼 아닌 내꺼 같은 너 니꺼인 듯 니꺼 아닌  니꺼 같은 나 때로는 친구 같다는 말이  괜히 요즘 난 듣기 싫어 졌어 너 요즘 너 별로야 너 별로야  나 근데 난 너뿐이야  난 너뿐이야 분명하게 내게 선을 그어줘  자꾸 뒤로 빼지 말고  날 사랑한다 고백해 줘 여전히 친구인척 또 연인인척  행동하는 모습을 전부다 돌이켜 생각 할 수록 너의 진심이  더 궁금해지는 걸 girl you’re so ambiguous 난 못해  무엇도 아니 어쩌면  기적을 바라지 lotto 확실한 표현을 원하지만  너의 미소 띈 표정에  잊어버리지 난 요즘 따라 내꺼인 듯  내꺼 아닌 내꺼 같은 너 니꺼인 듯 니꺼 아닌  니꺼 같은 나 순진한 척 웃지만 말고  그만 좀 해  너 솔직하게 좀 굴어봐 니 맘 속에 날 놔두고  한 눈 팔지 마 너야말로  다 알면서 딴청 피우지 마 피곤하게 힘 빼지 말고  어서 말해줘 사랑한단 말이야,4433490,썸 (Feat. 릴보이 Of 긱스),"소유 (씨스타), 정기고 (Junggigo)",631111,가끔 나도 모르 짜증 너 향한 맘 않았 혹시 내 걸 혼자 지내고 텅 빈 방 혼자 멍하니 뒤척 티비 어제 본 것 드라마 잠 들 때 한번 울리 않는 핸드폰 들 요즘 따라 내 듯 내 내 너 니 듯 니 니 나 이 무슨 사이 거인 사실 무 뚝뚝 하게 연인 듯 연인 연인 너 나 볼 듯 애매 하게 날 대하는 너 때로는 친구 말 요즘 난 듣기 졌 매일 아침 너 문자 눈 뜨 하루 끝 니 목소리 잠들 파 주말 사람 속 보 듯이 널 끌어 안고 싶어 요즘 따라 내 듯 내 내 너 니 듯 니 니 나 때로는 친구 말 요즘 난 듣기 졌 너 요즘 너 별로 너 별로 나 난 너뿐이야 난 너뿐이야 내게 선 그어 자꾸 뒤 빼지 날 사랑한 고백 줘 친구 인척 또 연인 인척 행동하는 모습 전부 돌이 켜 생각 할 수록 너 진심 더 걸 난 못 무엇 어쩌면 기적 바라지 표현 원하지 너 미소 띈 표정 잊어버리 난 요즘 따라 내 듯 내 내 너 니 듯 니 니 나 척 웃 좀 해 너 좀 봐 니 맘 속 날 놔두고 한 눈 팔지 마 너 알 딴 청 피우지 마 힘 빼지 어서 말해 사랑한 말
57260c922641f9921926feb9,M,TEDDY,26,I'M IN LOVE  눈에 콩깍지 씌었어 BABE  하의 실종에 흰 와이셔츠 BABE  사람이야 천사야  OH JESUS BABE  눈부셔 BABE  SUNGLASS BABE  정신이 망신이야 홀렸어 네게  피가 한쪽으로 또 쏠렸어 네게  위험해  YOU'RE SO DANGEROUS BABE  살려줘 BABE  경찰 불러 BABE  BABY BABY 지금처럼만  아름다워 줄래 넌  시간이 지나도 내가 설렐 수 있게  BABY BABY 넌 시들지 마  이기적인 날 위해  그 모습 그대로  넌 그대로 여야만 해  사슴같이 예쁜 눈  나의 PRINCESS  나를 보고 비웃는 게  너무 CHIC 해  미친 거 아닐까  자연 미인 특이해 특이해  내게 완벽한 그대여  나의 MUSE 해  우리 둘이 편해 완전 살찌네  너와 몸이 완전 착착 감기네  영원히 넌 스물다섯이야 내게  변치 않아 BABE 5 X 5 BABE BABY BABY 지금처럼만 아름다워 줄래 넌 시간이 지나도 내가 설렐 수 있게 BABY BABY 넌 시들지 마 이기적인 날 위해 그 모습 그대로 넌 그대로 여야만 해 난 예쁜 꽃을 든 남자 모든 이가 사랑할 너란 꽃을 든 남자 그대 향기에 취해 난 또 몽롱해지고 꺾이지 말아주오 제발 너만은 찹쌀떡 찹쌀떡 궁합이 우리 우리 궁합이 찹쌀떡 찹쌀떡 궁합이 우리 우리 궁합이,5684826,BAE BAE,빅뱅,852692,눈 콩깍지 씌었어 하의 실종 와이셔츠 사람 천사 정신 망신 홀렸어 네 피 한쪽 또 쏠렸어 네 살려 경찰 불러 지금 줄 넌 시간 지나도 내 수 넌 시들 마 기적 날 위해 그 모습 그대로 넌 그대로 여야 해 사슴 눈 나 나를 보고 비웃 게 너무 해 거 자연 미인 내게 그대 나 해 우리 둘 완전 너 몸 완전 착착 감기 넌 스물 다섯 내게 변치 않아 지금 줄 넌 시간 지나도 내 수 넌 시들 마 기적 날 위해 그 모습 그대로 넌 그대로 여야 해 난 꽃 든 남자 모든 이 사랑할 너란 꽃 든 남자 그대 향기 취해 난 또 몽롱 지고 꺾 말 제발 너 찹쌀떡 찹쌀떡 궁합 우리 우리 궁합 찹쌀떡 찹쌀떡 궁합 우리 우리 궁합
57260c922641f9921926fee8,보이지 않는 것들,와사비사운드,23,너무 보고 싶어서 가만히 너를 떠올려 보기도 했어 기억 속 네가 흐려진 만큼 잊혀진 거라 믿었어 지워질 거라고 하지만 지날수록 너의 그 모습보다 아련한 향기보다 그리워 단 한 번만 다시 들을 수 없을까 귓가에 맴도는 네 목소리 이렇게 너를 부르면 언젠간 들을 수가 있을까 사랑한 날의 네 목소리 사랑한다는 말이 익숙해질 즈음 그 때 우린 헤어졌어 한동안 너의 따스히 건네던 그 말을 잊은 채 너와 다시 만나고 너를 안고 싶었던 지난 날의 내가 참 미워 단 한 번만 다시 들을 수 없을까 귓가에 맴도는 네 목소리 이렇게 너를 부르면 언젠간 들을 수가 있을까 사랑한 날의 네 목소리 그렇게 떠나가던 날 끝없이 나를 소리쳐 부르던 그 날의 널 잊을 수 없어 너의 목소리로 가득한 그 거리도 단 한 번만 그 때처럼 다시 한 번만 귓가에 맴도는 네 목소리 이렇게 너를 부르면 언젠간 들을 수가 있을까 사랑한 날의 네 목소리 사랑했던 네 목소리,5536206,목소리,노을,802549,너무 보고 싶어 너 떠올려 보기 했 기억 속 네 흐려진 만큼 잊혀진 거 믿었 지워질 거 지날 너 그 모습 향기 단 한 번만 다시 들 수 귓가 맴도 네 목소리 너 부르 언젠간 들 수가 사랑한 날 네 목소리 사랑한 말 익숙해질 즈음 그 때 우린 헤어졌 너 건네던 그 말 잊은 채 너 다시 만나고 너 안고 싶었 지난 날 내 참 단 한 번만 다시 들 수 귓가 맴도 네 목소리 너 부르 언젠간 들 수가 사랑한 날 네 목소리 떠나가던 날 나를 소리쳐 부르 그 날 널 잊 수 너 목소리 그 거리 단 한 번만 그 때 다시 한 번만 귓가 맴도 네 목소리 너 부르 언젠간 들 수가 사랑한 날 네 목소리 사랑했 네 목소리
57260c932641f9921926ff86,Problem,,28,Hey baby even though I hate ya I wanna love ya I want you And even though I can't forgive ya I really want to I want you Tell me tell me baby why can't you leave me Cause even  though I shouldn't want it I gotta have it I want you Head in the clouds got no weight on my shoulders I should be wiser  and realize that I've got One less problem without ya I got one less problem without ya I got one less problem without ya I got one less one less problem One less problem without ya I got one less problem without ya I got one less problem without ya I got one less one less problem I know you're never  gonna wake up I gotta give up but it's you I know I shouldn't ever call back Or let you come back but it's you Every time you touch me And say you love me I get a little bit breathless I shouldn't want it but it's you Head in the clouds  got no weight on my shoulders I should be wiser and realize that I've got One less problem without ya I got one less problem without ya I got one less problem without ya I got one less one less problem One less problem without ya I got one less problem without ya I got one less problem without ya I got one less one less problem Smart money bettin'  I'll be better off without you In no time I'll be forgettin'  all about you You sayin' that you know but I really really doubt you Understand my life is easy  when I ain't around you Iggy Iggy too biggie to be here stressin' I'm thinkin' I love the thought of you more than I love your presence And the best thing  now is probably for you to exit I let you go let you back  I finally learned my lesson No half steppin'  either you want it or you just playin' I'm listenin' to you knowin' I can't believe what you're sayin' There's a million you's baby boy  so don't be dumb I got 99 problems but you won't be one Like what One less one less problem One less one less problem Head in the clouds  got no weight on my shoulders I should be wiser and realize that I've got One less problem without ya I got one less problem without ya I got one less problem without ya I got one less one less problem One less problem without ya I got one less problem without ya I got one less problem without ya I got one less one less problem,4630555,Problem (Feat. Iggy Azalea),Ariana Grande,683420,
57260c932641f99219270028,Payphone (Single),,25,"I’m at a payphone trying to call home All of my change I spent on you Where have the times gone Baby it’s all wrong,  where are the plans we made for two Yeah, I, I know it’s hard to remember The people we used to be It’s even harder to picture That you’re not here next to me You say it’s too late to make it But is it too late to try And in our time that you wasted All of our bridges burned down I’ve wasted my nights You turned out the lights Now I’m paralyzed Still stuck in that time  when we called it love But even the sun sets in paradise I’m at a payphone trying to call home All of my change I spent on you Where have the times gone Baby it’s all wrong,  where are the plans we made for two If happy ever after did exist I would still be holding you like this All those fairytales are full of sh*t One more f**king love song  I’ll be sick You turned your back on tomorrow Cause you forgot yesterday I gave you my love to borrow But just gave it away You can’t expect me to be fine I don’t expect you to care I know I’ve said it before But all of our bridges burned down I’ve wasted my nights You turned out the lights Now I’m paralyzed Still stucked in that time  when we called it love But even the sun sets in paradise I’m at a payphone trying to call home All of my change I spent on you Where have the times gone Baby it’s all wrong,  where are the plans we made for two If happy ever after did exist I would still be holding you like this All those fairytales are full of sh*t One more f**king love song  I’ll be sick Now I’m at a payphone Man f**k that sh*t I’ll be out spending all this money  while you sitting round Wondering why it wasn’t you  who came up from nothing Made it from the bottom Now when you see me I’m stunning And all of my cars start  with the push up a button Telling me the chances I blew up  or whatever you call it Switched the number to my phone So you never could call it Don’t need my name on my show You can tell it I’m ballin’ Swish, what a shame  could have got picked Had a really good game  but you missed your last shot So you talk about  who you see at the top Or what you could’ve saw But sad to say it’s over for Phantom pulled up valet open doors Wiz like go away,  got what you was looking for Now ask me who they want So you can go and take that  little piece of sh*t with you I’m at a payphone trying to call home All of my change I spent on you Where have the times gone Baby it’s all wrong,  where are the plans we made for two If happy ever after did exist I would still be holding you like this All those fairytales are full of sh*t One more f**king love song  I’ll be sick Now I’m at a payphone",3774133,Payphone (Feat. Wiz Khalifa),Maroon 5,250584,
57260c932641f99219270032,Maps,,40,I miss taste of the sweet life I miss the conversation I'm searching for a song tonight I'm changing all of the stations I like to think that we had it all We drew a map to a better place But on that road I took a fall Oh baby why did you run away I was there for you In your darkest times I was there for you In your darkest nights But I wonder where were you When I was at my worst Down on my knees And you said you had my back So I wonder where were you All the roads you took came back to me So I'm following the map  that leads to you The map that leads to you Ain't nothing I can do The map that leads to you Following following  following to you The map that leads to you And nothing I can do The map that leads to you Following following following I hear your voice in my sleep at night Hard to resist temptation Cause all these strangers  come over me Now I can't get over you No I just can't get over you I was there for you In your darkest times I was there for you In your darkest nights But I wonder where were you When I was at my worst Down on my knees And you said you had my back So I wonder where were you All the roads you took  came back to me So I'm following the map  that leads to you The map that leads to you Ain't nothing I can do The map that leads to you Following following  following to you The map that leads to you And nothing I can do The map that leads to you I was there for you In your darkest times I was there for you In your darkest nights I was there for you In your darkest times I was there for you In your darkest nights But I wonder where were you When I was at my worst Down on my knees And you said you had my back So I wonder where were you All the worse you took came back to me So I'm following the map  that leads to you The map that leads to you Ain't nothing I can do The map that leads to you Following following  following to you The map that leads to you And nothing I can do The map that leads to you Following following following,4688375,Maps,Maroon 5,710504,
57260c932641f99219270058,사월의 눈,G.gorilla,20,어느새 그 차가웠던 긴 겨울에 하얀 눈도 스르륵 봄바람에 다 녹아내려요 다시 또 누군가를 사랑할 수 있으려나요 눈부신 따스한 봄날엔 그토록 욕해대고 할퀴어대던 두 사람이 나였는지 그녀였는지 조차 잊어버린 듯 그 겨울 그 겨울이 그때 우리가 참 그리워 미운데 미운데 그리워 큰맘 먹고 살짝 열어본 내 창가에 눈부신 봄날 햇살 아래로 차디찬 눈이 내려요 작은 내 방에 내 텅 빈 가슴에 그 아팠던 상처가 또 다시 덧나려는 듯 이른 봄날에 눈이 내려요 주르륵 흘러내린 내 눈물마저도 차네요 내게도 봄날이 올까요 누군갈 또 다시 사랑하고 싶어서 미친 듯 거리를 걸어봐도 차디찬 눈이 내려요 내 두 눈가에 이 못난 가슴에 그 아팠던 상처가 또 다시 덧나려는 듯 이른 봄날에 눈이 내려요 하얗게 추억들이 내려요 주르륵 흘러내린 내 눈물마저 차가운데 내게도 봄날이 올까요 따스한 봄날이 올까요,5629186,사월의 눈,허각,833399,그 긴 겨울 눈 봄바람 녹아 내려 다시 또 누군가 사랑할 수 요 봄날 욕해 대고 할퀴 대던 두 사람 나 그녀 였 조차 잊어버린 듯 그 겨울 그 겨울 그때 우리 참 큰 맘 먹고 살짝 열어 본 내 창가 봄날 햇살 아래 차 찬 눈 내려 내 방 내 텅 빈 가슴 그 상처 또 다시 덧 나려 듯 이른 봄날 눈 내려 주르륵 흘러내린 내 눈물 차네 내게 봄날 올 요 누 갈 또 다시 사랑하고 싶어 듯 거리 걸어 봐 차 찬 눈 내려 내 두 눈가 이 못 가슴 그 상처 또 다시 덧 나려 듯 이른 봄날 눈 내려 추억 내려 주르륵 흘러내린 내 눈물 내게 봄날 올 요 봄날 올 요
57260c932641f992192700a4,WELCOME BACK,P.K (FUTURE BOUNCE),25,We gon get it pop it we gon we gon get it pop it 이건 그냥 노래니깐 리듬 타 Bounce 리듬 타 Bounce 리듬 타 Bounce 리듬 타 이건 그냥 노래니깐 리듬 타 뭐해 어서 고갤 끄덕이지 않고 가슴과 허리를 꿀렁이지 않고 우린 가리는 거 없어 예를 들면 때와 장소 멋있는 척 안해 나쁜 예는 요즘 아이돌 즐기는데 무슨 타당한 이유를 원해 이건 그냥 리듬 타기 좋은 흔한 노래 굳이 제목을 정하자면 칭찬 이 노래를 틀면 고래도 춤추게 하니까 yeah come and get it 모여 남녀노소 음악은 흐르지 방방곡곡 콧노래를 불러 ladi dadi 오늘밤은 ready to die yeah die yeah 시간은 금 보기를 돌 같이 하라 비싼 척 하지마 놀고 싶은 거 알아 woo 콧노래를 불러 ladi dadi 다같이 움직여 body Bounce 리듬 타 Bounce 리듬 타 Bounce 리듬 타 이건 그냥 노래니깐 리듬 타 We gon get it pop it we gon we gon get it pop it We gon get it pop it we gon we gon get it pop it We gon get it pop it we gon we gon get it pop it 이건 그냥 노래니깐 리듬 타 뭐해 어서 고갤 끄덕이지 않고 어 밤이면 밤마다 오는 날이 아니잖소 오늘을 놓쳐서 후회한다면 후회한 시간을 후회할 거잖아 후회하기 싫음 후회할 일들을 후회하기 전에 후회 말아 Oh yeah right 리듬 타 Come on 방방 뛰어 나와 함께 리듬 타 UCC에 올려봐 꿀렁거리는 니 모습 여덟 마디 춤추기 좋게 여름 방학 계획표처럼 의미는 없음 Yeah come and get it 모여 남녀노소 음악은 흐르지 방방곡곡 콧노래를 불러 ladi dadi 오늘밤은 ready to die yeah die yeah 시간은 금 보기를 돌 같이 하라 비싼 척 하지마 놀고 싶은 거 알아 woo 콧노래를 불러 ladi dadi 다같이 움직여 body Bounce 리듬 타 Bounce 리듬 타 Bounce 리듬 타 이건 그냥 노래니깐 리듬 타 We gon get it pop it we gon we gon get it pop it We gon get it pop it we gon we gon get it pop it We gon get it pop it we gon we gon get it pop it 이건 그냥 노래니깐 리듬 타 모두 고개를 끄덕여 팔짱 끼고 껄렁 거려 다같이 흔들흔들 흔들흔들 해 우린 좀 건들건들 건들건들 해 볼륨을 더 높이고 이 리듬에 몸을 맡겨 다 같이 흔들흔들 흔들흔들 해 우린 좀 건들건들 건들건들 해 리듬 타 Da na na na na na na Da na na na na na na Da na na na na na na 이건 그냥 노래니깐 리듬 타 We gon get it pop it we gon we gon get it pop it We gon get it pop it we gon we gon get it pop it We gon get it pop it we gon we gon get it pop it 이건 그냥 노래니깐 리듬 타,7870705,리듬 타 (RHYTHM TA),iKON,906012,것 그냥 노래 리듬 타 리듬 타 리듬 타 리듬 타 것 그냥 노래 리듬 타 뭐 어서 고 갤 끄덕이 않고 가슴 허리 꿀렁이 않고 우린 가리는 거 예 들 때 장소 척 안해 예 요즘 아이돌 즐기는 무슨 타당 이유 원해 것 그냥 리듬 타기 노래 굳이 제목 정하자 칭찬 이 노래 틀 고래 춤추게 하니 모여 남녀 노소 음악 흐르 방방곡곡 콧노래 불러 오늘밤 시간 금 보기 돌 하라 척 하지 놀고 싶은 거 알 콧노래 불러 다 움직여 리듬 타 리듬 타 리듬 타 것 그냥 노래 리듬 타 것 그냥 노래 리듬 타 뭐 어서 고 갤 끄덕이 않고 어 밤 밤 오는 날 오늘 놓쳐 후회한 후회한 시간 후회할 거 잖아 후회하기 후회할 일 후회하기 전 후회 말 리듬 타 뛰 나와 리듬 타 올려 봐 꿀렁거리 니 모습 여덟 마디 춤추기 여름 방학 계획 표 의미 모여 남녀 노소 음악 흐르 방방곡곡 콧노래 불러 오늘밤 시간 금 보기 돌 하라 척 하지 놀고 싶은 거 알 콧노래 불러 다 움직여 리듬 타 리듬 타 리듬 타 것 그냥 노래 리듬 타 것 그냥 노래 리듬 타 모두 고개 끄덕여 팔짱 끼 거려 다 흔들 흔들 흔들 흔들 해 우린 좀 해 볼륨 더 높이 이 리듬 몸 맡겨 흔들 흔들 흔들 흔들 해 우린 좀 해 리듬 타 것 그냥 노래 리듬 타 것 그냥 노래 리듬 타
